# 1:x 2:y 3:u.x 4:u.y 5:p
4 11.8235 1.02881 0.155048 0.0616272
4 11.8471 1.02881 0.155048 0.0616272
4 11.8706 1.02881 0.155048 0.0616272
4 11.8941 1.04064 0.132405 0.0462576
4 11.9176 1.04064 0.132405 0.0462576
4 11.9412 1.04064 0.132405 0.0462576
4 11.9647 1.04064 0.132405 0.0462576
4 11.9882 1.04064 0.132405 0.0462576
4 12.0118 1.04064 0.132405 0.0462576
4 12.0353 1.04064 0.132405 0.0462576
4 12.0588 1.04064 0.132405 0.0462576
4 12.0823 1.04064 0.132405 0.0462576
4 12.1059 1.04064 0.132405 0.0462576
4 12.1294 1.04064 0.132405 0.0462576
4 12.1529 1.04064 0.132405 0.0462576
4 12.1765 1.04064 0.132405 0.0462576
4 12.2 1.0467 0.114022 0.0346079
4 12.2235 1.0467 0.114022 0.0346079
4 12.2471 1.0467 0.114022 0.0346079
4 12.2706 1.0467 0.114022 0.0346079
4 12.2941 1.0467 0.114022 0.0346079
4 12.3176 1.0467 0.114022 0.0346079
4 12.3412 1.0467 0.114022 0.0346079
4 12.3647 1.0467 0.114022 0.0346079
4 12.3882 1.0467 0.114022 0.0346079
4 12.4118 1.0467 0.114022 0.0346079
4 12.4353 1.0467 0.114022 0.0346079
4 12.4588 1.0467 0.114022 0.0346079
4 12.4823 1.0467 0.114022 0.0346079
4 12.5059 1.05499 0.0940278 0.0175486
4 12.5294 1.05499 0.0940278 0.0175486
4 12.5529 1.05499 0.0940278 0.0175486
4 12.5765 1.05499 0.0940278 0.0175486
4 12.6 1.05499 0.0940278 0.0175486
4 12.6235 1.05499 0.0940278 0.0175486
4 12.6471 1.05499 0.0940278 0.0175486
4 12.6706 1.05499 0.0940278 0.0175486
4 12.6941 1.05499 0.0940278 0.0175486
4 12.7176 1.05499 0.0940278 0.0175486
4 12.7412 1.05499 0.0940278 0.0175486
4 12.7647 1.05499 0.0940278 0.0175486
4 12.7882 1.05499 0.0940278 0.0175486
4 12.8118 1.05499 0.0940278 0.0175486
4 12.8353 1.05499 0.0940278 0.0175486
4 12.8588 1.05499 0.0940278 0.0175486
4 12.8823 1.05499 0.0940278 0.0175486
4 12.9059 1.05499 0.0940278 0.0175486
4 12.9294 1.05499 0.0940278 0.0175486
4 12.9529 1.05499 0.0940278 0.0175486
4 12.9765 1.05499 0.0940278 0.0175486
4 13 1.05499 0.0940278 0.0175486

4.02353 7 1.05344 -0.0941919 0.0171031
4.02353 7.02353 1.05344 -0.0941919 0.0171031
4.02353 7.04706 1.05344 -0.0941919 0.0171031
4.02353 7.07059 1.05344 -0.0941919 0.0171031
4.02353 7.09412 1.05344 -0.0941919 0.0171031
4.02353 7.11765 1.05344 -0.0941919 0.0171031
4.02353 7.14118 1.05344 -0.0941919 0.0171031
4.02353 7.16471 1.05344 -0.0941919 0.0171031
4.02353 7.18824 1.05344 -0.0941919 0.0171031
4.02353 7.21176 1.05344 -0.0941919 0.0171031
4.02353 7.23529 1.05344 -0.0941919 0.0171031
4.02353 7.25882 1.05344 -0.0941919 0.0171031
4.02353 7.28235 1.05344 -0.0941919 0.0171031
4.02353 7.30588 1.05344 -0.0941919 0.0171031
4.02353 7.32941 1.05344 -0.0941919 0.0171031
4.02353 7.35294 1.05344 -0.0941919 0.0171031
4.02353 7.37647 1.05344 -0.0941919 0.0171031
4.02353 7.4 1.05344 -0.0941919 0.0171031
4.02353 7.42353 1.05344 -0.0941919 0.0171031
4.02353 7.44706 1.05344 -0.0941919 0.0171031
4.02353 7.47059 1.05344 -0.0941919 0.0171031
4.02353 7.49412 1.05344 -0.0941919 0.0171031
4.02353 7.51765 1.04721 -0.114157 0.0344334
