1:x 2:y 3:u.x 4:u.y 5:p
4.023430000000000284e+00 9.257799999999999585e+00 8.633089999999999931e-01 -2.430650000000000033e-01 2.121339999999999892e-01
4.023430000000000284e+00 9.296870000000000189e+00 8.633089999999999931e-01 -2.430650000000000033e-01 2.121339999999999892e-01
4.023430000000000284e+00 9.335929999999999396e+00 8.633089999999999931e-01 -2.430650000000000033e-01 2.121339999999999892e-01
4.023430000000000284e+00 9.374990000000000379e+00 8.633089999999999931e-01 -2.430650000000000033e-01 2.121339999999999892e-01
4.023430000000000284e+00 9.414049999999999585e+00 8.022280000000000522e-01 -2.330260000000000109e-01 2.642229999999999857e-01
4.023430000000000284e+00 9.453120000000000189e+00 8.022280000000000522e-01 -2.330260000000000109e-01 2.642229999999999857e-01
4.023430000000000284e+00 9.492179999999999396e+00 8.022280000000000522e-01 -2.330260000000000109e-01 2.642229999999999857e-01
4.023430000000000284e+00 9.531240000000000379e+00 8.022280000000000522e-01 -2.330260000000000109e-01 2.642229999999999857e-01
4.023430000000000284e+00 9.570299999999999585e+00 7.348470000000000280e-01 -1.992150000000000032e-01 3.256979999999999875e-01
4.023430000000000284e+00 9.609370000000000189e+00 7.348470000000000280e-01 -1.992150000000000032e-01 3.256979999999999875e-01
4.023430000000000284e+00 9.648429999999999396e+00 7.348470000000000280e-01 -1.992150000000000032e-01 3.256979999999999875e-01
4.023430000000000284e+00 9.687490000000000379e+00 7.348470000000000280e-01 -1.992150000000000032e-01 3.256979999999999875e-01
4.023430000000000284e+00 9.726549999999999585e+00 6.702540000000000164e-01 -1.701020000000000032e-01 3.720589999999999731e-01
4.023430000000000284e+00 9.765620000000000189e+00 6.702540000000000164e-01 -1.701020000000000032e-01 3.720589999999999731e-01
4.023430000000000284e+00 9.804679999999999396e+00 6.407429999999999515e-01 -1.289750000000000063e-01 3.975330000000000252e-01
4.023430000000000284e+00 9.843740000000000379e+00 6.407429999999999515e-01 -1.289750000000000063e-01 3.975330000000000252e-01
4.023430000000000284e+00 9.882799999999999585e+00 6.365159999999999707e-01 -4.952179999999999777e-02 4.112899999999999889e-01
4.023430000000000284e+00 9.921870000000000189e+00 6.365159999999999707e-01 -4.952179999999999777e-02 4.112899999999999889e-01
4.023430000000000284e+00 9.960929999999999396e+00 6.365159999999999707e-01 -4.952179999999999777e-02 4.112899999999999889e-01
4.023430000000000284e+00 9.999990000000000379e+00 6.365159999999999707e-01 -4.952179999999999777e-02 4.112899999999999889e-01
4.023430000000000284e+00 1.003909999999999947e+01 6.364360000000000017e-01 5.074970000000000175e-02 4.111630000000000007e-01
4.023430000000000284e+00 1.007809999999999917e+01 6.364360000000000017e-01 5.074970000000000175e-02 4.111630000000000007e-01
4.023430000000000284e+00 1.011720000000000041e+01 6.364360000000000017e-01 5.074970000000000175e-02 4.111630000000000007e-01
4.023430000000000284e+00 1.015620000000000012e+01 6.364360000000000017e-01 5.074970000000000175e-02 4.111630000000000007e-01
4.023430000000000284e+00 1.019529999999999959e+01 6.405499999999999527e-01 1.301309999999999967e-01 3.971149999999999958e-01
4.023430000000000284e+00 1.023440000000000083e+01 6.405499999999999527e-01 1.301309999999999967e-01 3.971149999999999958e-01
4.023430000000000284e+00 1.027340000000000053e+01 6.699840000000000240e-01 1.712100000000000011e-01 3.714910000000000156e-01
4.023430000000000284e+00 1.031250000000000000e+01 6.699840000000000240e-01 1.712100000000000011e-01 3.714910000000000156e-01
4.023430000000000284e+00 1.035159999999999947e+01 7.344589999999999730e-01 2.002649999999999986e-01 3.249699999999999811e-01
4.023430000000000284e+00 1.039059999999999917e+01 7.344589999999999730e-01 2.002649999999999986e-01 3.249699999999999811e-01
4.023430000000000284e+00 1.042970000000000041e+01 7.344589999999999730e-01 2.002649999999999986e-01 3.249699999999999811e-01
4.023430000000000284e+00 1.046870000000000012e+01 7.344589999999999730e-01 2.002649999999999986e-01 3.249699999999999811e-01
4.023430000000000284e+00 1.050779999999999959e+01 8.017739999999999867e-01 2.339990000000000125e-01 2.633380000000000165e-01
4.023430000000000284e+00 1.054690000000000083e+01 8.017739999999999867e-01 2.339990000000000125e-01 2.633380000000000165e-01
4.023430000000000284e+00 1.058590000000000053e+01 8.017739999999999867e-01 2.339990000000000125e-01 2.633380000000000165e-01
4.023430000000000284e+00 1.062500000000000000e+01 8.017739999999999867e-01 2.339990000000000125e-01 2.633380000000000165e-01
4.023430000000000284e+00 1.066409999999999947e+01 8.628360000000000474e-01 2.439890000000000114e-01 2.111590000000000134e-01
4.023430000000000284e+00 1.070309999999999917e+01 8.628360000000000474e-01 2.439890000000000114e-01 2.111590000000000134e-01
